Age,Ache,Agta,Hadza,Hiwi,!Kung,HG Mean,Aborigine,Gainj,Tsimane,Yanomamo,Herero,NF Mean,H.s. Mean,Gombe,Kanyawara,Mahale,Ngogo,Tai,P.t. Mean,Gambia,Taronga
29,0.9864,0.9759,0.9887,0.9799,0.9849,0.9832,0.9951,0.9802,0.9907,0.9878,0.993,0.9894,0.9863,0.9277,0.9637,0.9772,0.9798,0.8078,0.9312,0.9537,0.9679
30,0.9863,0.975,0.9887,0.9799,0.9846,0.9829,0.9948,0.9792,0.9906,0.9877,0.9928,0.989,0.986,0.9226,0.9621,0.9743,0.9787,0.8059,0.9287,0.9524,0.9664
31,0.9862,0.974,0.9886,0.9799,0.9842,0.9826,0.9945,0.978,0.9905,0.9876,0.9925,0.9886,0.9856,0.9172,0.9604,0.971,0.9775,0.8043,0.9261,0.951,0.9648
32,0.986,0.973,0.9886,0.9799,0.9838,0.9823,0.9941,0.9768,0.9904,0.9875,0.9923,0.9882,0.9852,0.9115,0.9587,0.9674,0.9762,0.8029,0.9233,0.9496,0.963
33,0.9859,0.9719,0.9885,0.9799,0.9834,0.9819,0.9938,0.9756,0.9902,0.9874,0.992,0.9878,0.9849,0.9054,0.9568,0.9633,0.9748,0.8019,0.9204,0.9482,0.961
34,0.9857,0.9708,0.9885,0.9799,0.983,0.9816,0.9934,0.9742,0.9901,0.9872,0.9917,0.9873,0.9844,0.8988,0.9548,0.9587,0.9734,0.8011,0.9174,0.9467,0.9588
35,0.9856,0.9696,0.9884,0.9799,0.9826,0.9812,0.993,0.9728,0.9899,0.987,0.9914,0.9868,0.984,0.8919,0.9527,0.9535,0.9719,0.8008,0.9142,0.9452,0.9564
36,0.9854,0.9684,0.9883,0.9798,0.9821,0.9808,0.9925,0.9713,0.9897,0.9868,0.9911,0.9863,0.9836,0.8844,0.9505,0.9477,0.9703,0.8009,0.9108,0.9436,0.9538
37,0.9852,0.9671,0.9882,0.9798,0.9817,0.9804,0.9921,0.9697,0.9895,0.9866,0.9908,0.9857,0.9831,0.8766,0.9481,0.9412,0.9686,0.8014,0.9072,0.942,0.951
38,0.9849,0.9658,0.9881,0.9798,0.9813,0.98,0.9916,0.968,0.9892,0.9864,0.9905,0.9851,0.9826,0.8682,0.9457,0.934,0.9668,0.8024,0.9034,0.9404,0.9479
39,0.9846,0.9645,0.988,0.9798,0.9808,0.9795,0.9911,0.9662,0.989,0.9862,0.9901,0.9845,0.982,0.8593,0.9431,0.9258,0.965,0.8039,0.8994,0.9387,0.9445
40,0.9843,0.9631,0.9879,0.9797,0.9803,0.9791,0.9905,0.9643,0.9886,0.9859,0.9898,0.9838,0.9815,0.8498,0.9403,0.9167,0.963,0.8061,0.8952,0.937,0.9407
41,0.984,0.9616,0.9878,0.9797,0.9798,0.9786,0.9899,0.9623,0.9883,0.9857,0.9894,0.9831,0.9808,0.8398,0.9375,0.9066,0.9609,0.8089,0.8907,0.9352,0.9366
42,0.9837,0.9601,0.9876,0.9796,0.9793,0.9781,0.9893,0.9602,0.9879,0.9853,0.989,0.9823,0.9802,0.8292,0.9345,0.8953,0.9587,0.8124,0.886,0.9333,0.9322
43,0.9833,0.9585,0.9874,0.9796,0.9788,0.9775,0.9886,0.9579,0.9874,0.985,0.9886,0.9815,0.9795,0.8179,0.9313,0.8827,0.9563,0.8167,0.881,0.9314,0.9273
44,0.9828,0.9569,0.9872,0.9795,0.9783,0.9769,0.9879,0.9556,0.9869,0.9846,0.9882,0.9806,0.9788,0.806,0.928,0.8687,0.9539,0.8219,0.8757,0.9295,0.922
45,0.9823,0.9552,0.987,0.9793,0.9778,0.9763,0.9871,0.953,0.9863,0.9843,0.9878,0.9797,0.978,0.7934,0.9245,0.8531,0.9513,0.8281,0.8701,0.9275,0.9161
46,0.9818,0.9534,0.9867,0.9792,0.9772,0.9757,0.9863,0.9504,0.9857,0.9838,0.9873,0.9787,0.9772,0.7801,0.9209,0.836,0.9485,0.8354,0.8642,0.9255,0.9098
47,0.9812,0.9516,0.9864,0.979,0.9767,0.975,0.9854,0.9476,0.9849,0.9834,0.9869,0.9776,0.9763,0.7661,0.9171,0.817,0.9456,0.8439,0.858,0.9234,0.9029
48,0.9805,0.9496,0.9861,0.9787,0.9761,0.9742,0.9845,0.9446,0.9841,0.9828,0.9864,0.9765,0.9753,0.7514,0.9131,0.7961,0.9426,0.8537,0.8514,0.9212,0.8953
49,0.9798,0.9477,0.9857,0.9784,0.9755,0.9734,0.9835,0.9414,0.9832,0.9823,0.9859,0.9753,0.9743,0.7359,0.9089,0.7732,0.9394,0.8649,0.8445,0.919,0.8871
50,0.9789,0.9456,0.9853,0.9779,0.9749,0.9725,0.9825,0.9381,0.9821,0.9817,0.9853,0.9739,0.9732,0.7196,0.9046,0.7482,0.936,0.8778,0.8372,0.9167,0.8782
51,0.978,0.9435,0.9848,0.9774,0.9743,0.9716,0.9814,0.9346,0.981,0.981,0.9848,0.9725,0.9721,0.7026,0.9,0.7209,0.9324,0.8926,0.8297,0.9144,0.8685
52,0.977,0.9413,0.9842,0.9767,0.9736,0.9706,0.9802,0.9309,0.9796,0.9803,0.9842,0.971,0.9708,0.6847,0.8953,0.6913,0.9287,0.9094,0.8219,0.912,0.858
53,0.9759,0.939,0.9836,0.9757,0.973,0.9694,0.9789,0.927,0.9782,0.9795,0.9836,0.9694,0.9694,0.666,0.8903,0.6594,0.9247,0.8797,0.804,0.9095,0.8465
54,0.9747,0.9366,0.9829,0.9746,0.9723,0.9682,0.9776,0.9228,0.9765,0.9786,0.983,0.9677,0.968,0.6466,0.8851,0.6251,0.9206,0.8797,0.7914,0.907,0.8342
55,0.9733,0.9341,0.9821,0.973,0.9717,0.9668,0.9762,0.9185,0.9746,0.9777,0.9824,0.9659,0.9663,0.6264,0.8796,0.5886,0.9162,0.8797,0.7781,0.9044,0.8208
56,0.9718,0.9315,0.9812,0.9711,0.971,0.9653,0.9747,0.9138,0.9725,0.9767,0.9817,0.9639,0.9646,0.6053,0.874,0.55,0.9116,0.8797,0.7641,0.9018,0.8064
57,0.9701,0.9289,0.9801,0.9686,0.9703,0.9636,0.973,0.909,0.9701,0.9756,0.981,0.9617,0.9627,0.5836,0.868,0.5095,0.9067,0.8797,0.7495,0.899,0.7908
58,0.9683,0.9261,0.979,0.9654,0.9695,0.9617,0.9713,0.9038,0.9674,0.9744,0.9803,0.9594,0.9606,0.5611,0.8618,0.4673,0.9016,0.8797,0.7343,0.8962,0.774
59,0.9662,0.9232,0.9776,0.9613,0.9688,0.9594,0.9695,0.8984,0.9644,0.9731,0.9795,0.957,0.9582,0.5379,0.8554,0.4239,0.8962,0.8797,0.7186,0.8934,0.7561
60,0.964,0.9203,0.9761,0.9561,0.968,0.9569,0.9676,0.8927,0.961,0.9716,0.9787,0.9543,0.9556,0.5142,0.8487,0.3798,0.8906,0.8797,0.7026,0.8904,0.7368
61,0.9615,0.9172,0.9744,0.9494,0.9672,0.9539,0.9655,0.8867,0.9573,0.9701,0.9779,0.9515,0.9527,0.4898,0.8417,0.3355,0.8846,0.8797,0.6863,0.8874,0.7162
62,0.9587,0.914,0.9725,0.9409,0.9664,0.9505,0.9633,0.8804,0.953,0.9684,0.9771,0.9484,0.9495,0.465,0.8344,0.2917,0.8784,0.8797,0.6698,0.8843,0.6942
63,0.9557,0.9107,0.9703,0.93,0.9656,0.9465,0.961,0.8737,0.9482,0.9665,0.9762,0.9451,0.9458,0.4397,0.8268,0.2492,0.8719,0.8797,0.6534,0.8811,0.6709
64,0.9523,0.9072,0.9679,0.9163,0.9648,0.9417,0.9585,0.8667,0.9429,0.9645,0.9753,0.9416,0.9416,0.4141,0.8189,0.2085,0.865,0.8797,0.6372,0.8778,0.6462
65,0.9486,0.9037,0.9651,0.8989,0.9639,0.936,0.9559,0.8593,0.9369,0.9624,0.9743,0.9378,0.9369,0.3883,0.8106,0.1706,0.8578,0.8797,0.6214,0.8745,0.6201
66,0.9445,0.9,0.962,0.877,0.963,0.9293,0.9531,0.8516,0.9302,0.96,0.9733,0.9337,0.9315,0.3624,0.8021,0.136,0.8502,0.8797,0.6061,0.8711,0.5926
67,0.94,0.8962,0.9584,0.8498,0.9621,0.9213,0.9502,0.8434,0.9228,0.9574,0.9723,0.9292,0.9252,0.3366,0.7932,0.1054,0.8423,0.8797,0.5914,0.8675,0.5638
68,0.935,0.8922,0.9544,0.8159,0.9612,0.9117,0.947,0.8349,0.9144,0.9546,0.9712,0.9244,0.9181,0.3109,0.784,0.079,0.834,0.8797,0.5775,0.8639,0.5339
69,0.9295,0.8881,0.9499,0.7744,0.9602,0.9004,0.9437,0.8259,0.9051,0.9516,0.9701,0.9193,0.9098,0.2855,0.7744,0.0571,0.8253,0.8797,0.5644,0.8602,0.5028
70,0.9234,0.8838,0.9448,0.7242,0.9593,0.8871,0.9401,0.8165,0.8947,0.9482,0.9689,0.9137,0.9004,0.2606,0.7644,0.0395,0.8162,0.8797,0.5521,0.8564,0
71,0.9168,0.8794,0.9391,0.6644,0.9583,0.8716,0.9364,0.8066,0.8831,0.9447,0.9677,0.9077,0.8896,0.2362,0.7541,0.0261,0.8067,0.8797,0.5406,0.8526,0
72,0.9094,0.8749,0.9326,0.5947,0.9573,0.8538,0.9324,0.7963,0.8703,0.9407,0.9665,0.9012,0.8775,0.2126,0.7435,0.0164,0.7968,0.8797,0.5298,0.8486,0
73,0.9014,0.8702,0.9253,0.5158,0.9562,0.8338,0.9282,0.7855,0.8561,0.9365,0.9652,0.8943,0.864,0.1899,0.7324,0.0097,0.7864,0.8797,0.5196,0.8445,0
74,0.8925,0.8653,0.9172,0.4296,0.9552,0.8119,0.9237,0.7741,0.8403,0.9319,0.9638,0.8868,0.8494,0.1682,0.721,0.0053,0.7756,0.8797,0.51,0.8403,0
75,0.8828,0.8603,0.908,0.3396,0.9541,0.7889,0.9189,0.7623,0.8229,0.9269,0.9624,0.8787,0.8338,0.1477,0.7092,0.0027,0.7643,0.8797,0.5007,0.8361,0
76,0.8722,0.8551,0.8977,0.2511,0.9529,0.7658,0.9139,0.75,0.8037,0.9215,0.961,0.87,0.8179,0.1285,0.6969,0.0013,0.7525,0.8797,0.4918,0.8317,0
77,0.8606,0.8497,0.8862,0.1703,0.9518,0.7437,0.9086,0.7371,0.7826,0.9157,0.9594,0.8607,0.8022,0.1106,0.6843,0.0005,0.7403,0.8797,0.4831,0.8272,0
78,0.8479,0.8441,0.8733,0.1034,0.9506,0.7239,0.9029,0.7237,0.7595,0.9093,0.9579,0.8507,0.7873,0.0942,0.6714,0.0002,0.7275,0.8797,0.4746,0.8226,0
79,0.834,0.8383,0.8589,0.0545,0.9494,0.707,0.8969,0.7098,0.7343,0.9025,0.9562,0.8399,0.7735,0.0793,0.658,0.0001,0.7143,0.8797,0.4663,0.8179,0
80,0.819,0.8324,0.8429,0.0239,0.9482,0.6933,0.8906,0.6952,0.7069,0.895,0.9545,0.8285,0.7609,0.0659,0.6442,0,0.7006,0.8797,0.4581,0.8131,0
81,0.8026,0.8262,0.8252,0.0083,0.947,0.6818,0.8839,0.6802,0.6773,0.887,0.9527,0.8162,0.749,0.0541,0.63,0,0.6863,0.8797,0.45,0.8082,0
82,0.7848,0.8199,0.8055,0.0021,0.9457,0.6716,0.8769,0.6646,0.6454,0.8784,0.9509,0.8032,0.7374,0.0437,0.6155,0,0.6716,0.8797,0.4421,0.8032,0
83,0.7655,0.8133,0.7837,0.0004,0.9444,0.6615,0.8694,0.6484,0.6112,0.869,0.949,0.7894,0.7254,0.0348,0.6006,0,0.6563,0.8797,0.4343,0.798,0
84,0.7447,0.8066,0.7598,0,0.943,0.6508,0.8615,0.6317,0.5749,0.8589,0.947,0.7748,0.7128,0.0272,0.5853,0,0.6406,0.8797,0.4266,0.7928,0
85,0.7224,0.7996,0.7336,0,0.9416,0.6394,0.8532,0.6144,0.5366,0.8481,0.9449,0.7594,0.6994,0.0209,0.5697,0,0.6243,0.8797,0.4189,0.7874,0
86,0.6983,0.7924,0.7049,0,0.9402,0.6272,0.8444,0.5966,0.4965,0.8364,0.9428,0.7433,0.6853,0.0158,0.5537,0,0.6076,0.8797,0.4113,0.7819,0
87,0.6727,0.785,0.6738,0,0.9388,0.614,0.8352,0.5783,0.4548,0.8239,0.9406,0.7266,0.6703,0.0117,0.5374,0,0.5903,0.8797,0.4038,0.7763,0
88,0.6453,0.7774,0.6402,0,0.9373,0.6,0.8254,0.5595,0.4121,0.8104,0.9383,0.7091,0.6546,0.0084,0.5208,0,0.5727,0.8797,0.3963,0.7705,0
89,0.6163,0.7695,0.6041,0,0.9358,0.5851,0.8152,0.5403,0.3688,0.796,0.9359,0.6912,0.6382,0.006,0.5039,0,0.5545,0.8797,0.3888,0.7646,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
