"","id","lng","lro","asm","afr","alr","meno","store_total","store_av","store_sd","prod_total","prod_av","prod_sd","outdeg_total","outdeg_av","outdeg_sd","indeg_total","indeg_av","indeg_sd"
"1",1,105,6,11,19,46,56,619,6.44791666666667,2.9231194284501,101,1.05208333333333,1.72516843825491,451,4.69791666666667,2.92401955377819,505,5.26041666666667,2.82561513253185
"2",2,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"3",3,16,1,11,16,16,NA,36,5.14285714285714,2.79455252402309,8,1.14285714285714,1.95180014589707,20,2.85714285714286,0.899735410842437,28,4,2.51661147842358
"4",4,98,1,11,32,32,42,564,6.33707865168539,2.64980196611987,58,0.651685393258427,1.41502588793782,414,4.65168539325843,2.50953238851161,454,5.10112359550562,2.45895831520467
"5",5,21,1,11,21,21,NA,57,4.75,2.95803989154981,24,2,2.08893187146837,47,3.91666666666667,3.50216383328243,44,3.66666666666667,2.83912064918102
"6",6,103,0,11,NA,NA,61,444,4.72340425531915,2.06040112661645,95,1.01063829787234,1.7195565873248,353,3.75531914893617,2.63836936530908,351,3.73404255319149,1.99016685913569
"7",7,105,0,11,NA,NA,61,467,4.86458333333333,2.11570464393092,130,1.35416666666667,1.85233375795972,391,4.07291666666667,2.48890080014902,356,3.70833333333333,2.02050888153229
"8",8,102,2,11,39,49,59,551,5.9247311827957,2.58858933859899,101,1.08602150537634,1.74241158454806,431,4.63440860215054,2.6448676560815,442,4.75268817204301,2.49632736312374
"9",9,101,0,11,NA,NA,61,460,5,2.28227763622028,94,1.02173913043478,1.73508248446653,361,3.92391304347826,2.57730456204584,358,3.89130434782609,2.24076381080315
"10",10,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"11",11,15,1,11,15,15,NA,35,5.83333333333333,2.2286019533929,16,2.66666666666667,2.06559111797729,29,4.83333333333333,2.63944438597722,28,4.66666666666667,1.86189867250253
"12",12,14,1,11,14,14,NA,22,4.4,3.91152144312159,12,2.4,2.19089023002066,15,3,3.3166247903554,17,3.4,3.36154726279432
"13",13,103,5,11,22,43,53,612,6.51063829787234,2.86147822859288,106,1.12765957446809,1.75507891286723,448,4.76595744680851,2.79179108468656,485,5.15957446808511,2.60810643414226
"14",14,110,0,11,NA,NA,61,494,4.94,2.55374551622047,103,1.03,1.69643119161338,385,3.85,2.64908979985141,382,3.82,2.39688349843093
"15",15,100,6,11,17,50,60,570,6.26373626373626,2.75211096689701,90,0.989010989010989,1.67660043271765,402,4.41758241758242,2.55632520129942,462,5.07692307692308,2.65928465414947
"16",16,98,5,11,15,40,50,590,6.62921348314607,2.79358852989512,69,0.775280898876405,1.53558405374251,422,4.74157303370786,2.6693891448302,491,5.51685393258427,2.63331954156105
"17",17,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"18",18,104,5,11,23,47,57,580,6.10526315789474,2.8452038187864,99,1.04210526315789,1.73766650494818,424,4.46315789473684,2.8050506360044,469,4.93684210526316,2.71642179501289
"19",19,102,0,11,NA,NA,61,464,4.98924731182796,2.16942500725079,128,1.37634408602151,1.87613141802732,394,4.23655913978495,2.63503918567664,358,3.8494623655914,2.10561483615645
"20",20,100,0,11,NA,NA,61,467,5.13186813186813,2.27160633917837,112,1.23076923076923,1.82011552183385,384,4.21978021978022,2.71130226112102,362,3.97802197802198,2.20089891725087
"21",21,23,1,11,23,23,NA,63,4.5,2.10311124838343,12,0.857142857142857,1.70326125450528,37,2.64285714285714,2.64886457118583,48,3.42857142857143,1.74154156796989
"22",22,33,1,11,33,33,NA,126,5.25,2.38199770014126,52,2.16666666666667,2.03590951081621,114,4.75,2.70667451987152,95,3.95833333333333,2.38617697996401
"23",23,103,0,11,NA,NA,61,467,4.96808510638298,2.28812797436848,103,1.09574468085106,1.72937398665647,375,3.98936170212766,2.520857853862,365,3.88297872340426,2.23297084032371
