"","id","lng","lro","asm","afr","alr","meno","store_total","store_av","store_sd","prod_total","prod_av","prod_sd","outdeg_total","outdeg_av","outdeg_sd","indeg_total","indeg_av","indeg_sd"
"1",1,11,0,11,NA,NA,NA,1,0.5,0.707106781186548,1,0.5,0.707106781186548,0,0,0,0,0,0
"2",2,32,1,11,32,32,NA,101,4.39130434782609,2.16876861657784,39,1.69565217391304,0.875670268407197,77,3.34782608695652,1.82429801323871,70,3.04347826086957,1.82104517615485
"3",3,102,0,11,NA,NA,61,368,3.95698924731183,1.94999430598179,79,0.849462365591398,0.931877914180726,247,2.65591397849462,1.95878524721159,260,2.79569892473118,1.79103528346855
"4",4,68,5,11,23,48,58,355,6.01694915254237,2.80695887359605,75,1.27118644067797,0.997073449972749,248,4.20338983050847,2.48290472977442,281,4.76271186440678,2.60859972379718
"5",5,13,0,11,NA,NA,NA,4,1,0.816496580927726,4,1,0.816496580927726,2,0.5,1,1,0.25,0.5
"6",6,72,0,11,NA,NA,61,267,4.23809523809524,1.7754080468216,71,1.12698412698413,0.906821166921153,205,3.25396825396825,2.01581052271588,196,3.11111111111111,1.69545037418562
"7",7,67,0,11,NA,NA,61,266,4.58620689655172,1.96490687925971,84,1.44827586206897,0.920953239819186,220,3.79310344827586,1.98024117518996,193,3.32758620689655,1.90463820789259
"8",8,69,0,11,NA,NA,61,266,4.43333333333333,2.06968978815885,75,1.25,0.894900808820239,215,3.58333333333333,2.14943166841264,199,3.31666666666667,1.95276133620015
"9",9,73,0,11,NA,NA,61,264,4.125,1.9960278014414,77,1.203125,0.928895700400331,204,3.1875,2.07689481281361,190,2.96875,1.80799590883088
"10",10,73,2,11,54,56,61,310,4.84375,2.47667692108369,81,1.265625,0.963495413947784,237,3.703125,2.21595719043516,239,3.734375,2.31792317757575
"11",11,98,0,11,NA,NA,61,325,3.65168539325843,1.81597158815571,80,0.898876404494382,0.953998092005724,228,2.56179775280899,1.98262369887947,236,2.65168539325843,1.80341294869872
"12",12,70,3,11,29,41,51,341,5.59016393442623,2.97420605193121,63,1.0327868852459,0.982636133312735,237,3.88524590163934,2.28106963693014,264,4.32786885245902,2.72470984067056
"13",13,75,0,11,NA,NA,61,255,3.86363636363636,1.86371311457171,79,1.1969696969697,0.96428047259956,195,2.95454545454545,1.84333993010028,181,2.74242424242424,1.74805919685546
"14",14,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,22,1,11,22,22,NA,55,4.23076923076923,2.52170068782446,20,1.53846153846154,0.776250025806185,39,3,2.04124145231932,41,3.15384615384615,2.47810928754679
"16",16,69,3,11,19,25,41,407,6.78333333333333,3.10326054154345,55,0.916666666666667,0.925929064652558,293,4.88333333333333,2.81696835879697,327,5.45,2.97118934127311
"17",17,11,0,11,NA,NA,NA,1,0.5,0.707106781186548,2,1,1.4142135623731,1,0.5,0.707106781186548,0,0,0
"18",18,23,1,11,23,23,NA,64,4.57142857142857,2.2434275189912,23,1.64285714285714,1.15072838853303,49,3.5,1.50639661750509,49,3.5,2.06621169516358
"19",19,71,5,11,18,35,45,404,6.51612903225806,3.23273185738723,57,0.919354838709677,1.0290595276123,267,4.30645161290323,2.66482066371294,321,5.17741935483871,2.87170591642649
"20",20,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"21",21,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"23",23,74,0,11,NA,NA,61,272,4.18461538461538,1.99132735013222,79,1.21538461538462,0.976158089340356,215,3.30769230769231,2.16450829378087,200,3.07692307692308,1.89825324564858
"24",24,17,1,11,17,17,NA,29,3.625,2.77424378370549,12,1.5,0.925820099772551,16,2,1.0690449676497,21,2.625,2.77424378370549
"25",25,72,0,11,NA,NA,61,281,4.46031746031746,2.13137390814074,74,1.17460317460317,0.976162376426714,224,3.55555555555556,2.06957824734022,212,3.36507936507937,1.9535046034077
"26",26,19,1,11,19,19,NA,41,4.1,2.88482620312251,18,1.8,0.918936583472681,30,3,2.21108319357027,31,3.1,2.88482620312251
"27",27,70,0,11,NA,NA,61,246,4.0327868852459,1.83455001853092,82,1.34426229508197,1.07835130178187,203,3.32786885245902,1.93839548317167,181,2.9672131147541,1.80708986231781
"28",28,56,1,11,56,56,NA,218,4.63829787234043,1.97181809632516,73,1.5531914893617,0.829051596398687,178,3.78723404255319,1.97743982718066,161,3.42553191489362,1.86203115897742
"29",29,105,0,11,NA,NA,61,355,3.69791666666667,1.72364235920801,83,0.864583333333333,1.04246460666075,245,2.55208333333333,1.99931457553078,257,2.67708333333333,1.63188487511038
"30",30,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,102,0,11,NA,NA,61,392,4.21505376344086,1.84066069403254,86,0.924731182795699,1.00256799769159,282,3.03225806451613,2.00245291375584,288,3.09677419354839,1.78803095567645
"32",32,71,0,11,NA,NA,61,262,4.2258064516129,1.91130677842914,78,1.25806451612903,0.922140842536731,210,3.38709677419355,2.02731218903076,193,3.11290322580645,1.91717721723489
"33",33,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,11,0,11,NA,NA,NA,1,0.5,0.707106781186548,1,0.5,0.707106781186548,0,0,0,0,0,0
"35",35,42,1,11,42,42,NA,150,4.54545454545455,2.35969951862135,49,1.48484848484848,0.870388279778489,115,3.48484848484848,1.98622147747318,108,3.27272727272727,2.05049883066181
"36",36,10,0,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,72,0,11,NA,NA,61,285,4.52380952380952,1.94983161272258,85,1.34920634920635,1.08000493067468,234,3.71428571428571,2.03540097839643,211,3.34920634920635,1.79747789397085
"38",38,69,0,11,NA,NA,61,243,4.05,2.11872203246378,81,1.35,0.935640811857606,195,3.25,2.03881820205161,173,2.88333333333333,1.96659963497754
"39",39,49,1,11,49,49,NA,182,4.55,1.7089507952287,62,1.55,0.814924882490751,145,3.625,1.7641370375284,132,3.3,1.55579973663477
"40",40,47,1,11,47,47,NA,175,4.60526315789474,2.12500522968146,46,1.21052631578947,0.874809469197076,129,3.39473684210526,2.06043125483557,130,3.42105263157895,1.92608802452955
"41",41,19,1,11,19,19,NA,40,4,2.58198889747161,16,1.6,0.843274042711568,27,2.7,1.88856206322871,30,3,2.58198889747161
"42",42,72,3,11,34,41,51,384,6.09523809523809,3.20641637826147,60,0.952380952380952,0.974324769140336,279,4.42857142857143,2.64400896559339,311,4.93650793650794,2.95052218381663
"43",43,102,0,11,NA,NA,61,350,3.76344086021505,1.76560033799546,76,0.817204301075269,0.954921309746194,229,2.46236559139785,1.91424374773948,245,2.63440860215054,1.70539391239882
"44",44,37,1,11,37,37,NA,128,4.57142857142857,2.21825041882897,35,1.25,0.927960727138337,98,3.5,2.04577251550244,100,3.57142857142857,2.16758222414115
"45",45,12,0,11,NA,NA,NA,2,0.666666666666667,0.577350269189626,5,1.66666666666667,1.52752523165195,3,1,1,0,0,0
