Starting simulation for repetition = 1 at 2024-10-03 14:40:27 
Starting simulation for repetition = 1 at 2024-10-03 14:44:16 
Year 10 completed in repetition = 1 at 2024-10-03 14:44:18 
Year 20 completed in repetition = 1 at 2024-10-03 14:44:22 
Year 30 completed in repetition = 1 at 2024-10-03 14:44:26 
Year 40 completed in repetition = 1 at 2024-10-03 14:44:39 
Year 50 completed in repetition = 1 at 2024-10-03 14:44:49 
Year 60 completed in repetition = 1 at 2024-10-03 14:45:06 
Year 70 completed in repetition = 1 at 2024-10-03 14:45:26 
Year 80 completed in repetition = 1 at 2024-10-03 14:45:51 
Year 90 completed in repetition = 1 at 2024-10-03 14:46:50 
Year 100 completed in repetition = 1 at 2024-10-03 14:47:41 
Year 110 completed in repetition = 1 at 2024-10-03 14:49:52 
Year 120 completed in repetition = 1 at 2024-10-03 14:51:46 
