Starting simulation for repetition = 4 at 2024-10-03 14:40:27 
Starting simulation for repetition = 4 at 2024-10-03 14:44:16 
Year 10 completed in repetition = 4 at 2024-10-03 14:44:18 
Year 20 completed in repetition = 4 at 2024-10-03 14:44:21 
Year 30 completed in repetition = 4 at 2024-10-03 14:44:25 
Year 40 completed in repetition = 4 at 2024-10-03 14:44:38 
Year 50 completed in repetition = 4 at 2024-10-03 14:44:47 
Year 60 completed in repetition = 4 at 2024-10-03 14:45:02 
Year 70 completed in repetition = 4 at 2024-10-03 14:45:21 
Year 80 completed in repetition = 4 at 2024-10-03 14:45:44 
Year 90 completed in repetition = 4 at 2024-10-03 14:46:45 
Year 100 completed in repetition = 4 at 2024-10-03 14:47:36 
Year 110 completed in repetition = 4 at 2024-10-03 14:49:38 
Year 120 completed in repetition = 4 at 2024-10-03 14:51:35 
